id,food_name,category,calories,price,rating
1,pizza,fast_food,285,12.5,4.5
2,burger,fast_food,295,10.0,4.2
3,salad,healthy,150,8.0,4.8
4,sushi,japanese,200,15.0,4.7
5,pasta,italian,310,11.5,4.4
6,tacos,mexican,250,9.5,4.3
7,ramen,japanese,320,13.0,4.6
8,steak,grill,450,22.0,4.9
9,sandwich,cafe,220,7.5,4.1
10,ice_cream,dessert,180,5.0,4.7
11,pancakes,breakfast,350,9.0,4.5
12,omelette,breakfast,210,6.5,4.2
13,fried_rice,asian,330,10.5,4.4
14,dumplings,asian,240,8.5,4.6
15,hot_dog,fast_food,290,6.0,4.0
16,curry,indian,340,12.0,4.8
17,biryani,indian,400,14.0,4.9
18,lasagna,italian,360,13.5,4.5
19,caesar_salad,healthy,170,8.5,4.3
20,grilled_chicken,grill,390,16.0,4.7
21,fish_and_chips,british,420,14.5,4.2
22,pho,vietnamese,280,11.0,4.6
23,kebab,middle_eastern,370,10.0,4.4
24,waffles,breakfast,340,8.0,4.5
25,brownie,dessert,250,4.5,4.8
26,cheesecake,dessert,320,6.5,4.9
27,falafel,middle_eastern,260,7.5,4.3
28,shawarma,middle_eastern,350,9.5,4.6
29,nachos,mexican,410,11.0,4.1
30,quesadilla,mexican,300,10.5,4.4
31,tempura,japanese,290,13.5,4.5
32,mac_and_cheese,american,380,9.0,4.2
33,apple_pie,dessert,310,5.5,4.7
34,bbq_ribs,grill,500,20.0,4.9
35,greek_salad,healthy,160,7.0,4.5
36,donut,dessert,270,3.5,4.1
37,spaghetti,italian,330,12.0,4.4
38,fried_chicken,fast_food,430,11.5,4.3
39,spring_rolls,asian,210,7.5,4.2
40,paella,spanish,390,18.0,4.8
